,fi,en,,,NOTES – use \n for newline,max length
bookdesc04,"Määritelmä kuolema on Ulkopuolelle komposiitin, \nmutta ei disjunktio siitä, mikä on yksinkertaista, sillä se on yksi. \nDeath koostuu erottaminen sielun kehosta, \nbecause mitään muodostettiin kaksi, kolme \ eikä neljä komponentit on hajota, ja tämä on kuolema. \nUnderstand lisäksi, että mitään monimutkaista, jossa ei ole tulipalon syö, \ndrinks tai nukkuu, koska kaikessa joiden henki \nfire on se, joka syö. \n","The definition of death is the disjunction of the composite, \nbut there is no disjunction of that which is simple, for it is one.\nDeath consists in the separation of the soul from the body,\nbecause anything formed out of two, three,\nor four components must disintegrate, and this is death.\nUnderstand, further, that no complex substance which lacks fire eats, \ndrinks, or sleeps, because in all things which have a spirit \nfire is that which eats.\n",,,,
booktitle05,Smaragditaulu - tilavuus V,Emerald Tablet - volume V,,,,
bookdesc05,"Ja Herra sanoi näin \n'First pitää Hou ottaa Pyhän Pin. \nlaitteeseen, sinä kerrasta kolmeen. Ei enempää. Yhtä. \nThree pitää olla numero sinä laskea, \nja lukumäärän laskeminen on kolme. \nFour sinä ei lasketa, eikä laskea sinä kaksi, \nexcepting että sinä sitten edetä kolme. \nFive on oikeassa ulos. Kerran numero kolme, \nbeing kolmas numero päästä, siis \nlobbest sinä pyhilles käsikranaatti kohti \nthy vihollinen, joka on tuhma minun edessäni, on nuuska sen.'","And the Lord spake, saying,\n'First shalt hou take out the Holy Pin.\nThen, shalt thou count to three. No more. No less.\nThree shalt be the number thou shalt count, \nand the number of the counting shall be three. \nFour shalt thou not count, neither count thou two,\nexcepting that thou then proceed to three.\nFive is right out. Once at the number three, \nbeing the third number be reached, then,\nlobbest thou thy Holy Hand Grenade of Antioch towards \nthy foe, who, being naughty in My sight, shall snuff it.'",,,,
booktitle06,Smaragditaulu - tilavuus VI,Emerald Tablet - volume VI,,,,
bookdesc06,"Jotkut alkemistien fancy että työ alusta \nVoit pää on pelkkä tyhjäkäynnillä viihde; mutta ne jotka \nVarmista niin niittää, mitä ovat kylväneet - mitään. \nYritämme tietävät, että vieressä jumalallinen siunaus, \nja löytö oikea perusta, \nnothing on niin tärkeää kuin unwearied teollisuus \nja sitkeyttä tässä ensimmäinen toimi. \nOn ole ihme, että niin monet opiskelijat \nof tämän Art pelkistyvät beggary; \nNe pelkäävät työtä, ja ilme, kun meidän Art as \nMERE urheilun vapaa hetkiä. Sillä ei työ- \nei työläämpää kuin mikä valmistautumiosa \nof meidän yritys vaatii. \n","Some Alchemists fancy that the work from beginning \nto end is a mere idle entertainment; but those who \nmake it so will reap what they have sown - nothing. \nWe know that next to the Divine Blessing,\nand the discovery of the proper foundation,\nnothing is so important as unwearied industry\nand perseverance in this First Operation.\nIt is no wonder, then, that so many students\nof this Art are reduced to beggary;\nthey are afraid of work, and look upon our Art as \nmere sport for their leisure moments. For no labour \nis more tedious than that which the preparatory part \nof our enterprise demands. \n",,,,
booktitle07,Smaragditaulu - volyymi VII,Emerald Tablet - volume VII,,,,
bookdesc07,"Niistä, jotka omistautuvat transmutaatioon metallien \nhowever, ei voi olla mitään sellaista kuin keskinkertaisuus saavuttamista. \nA henkilö, joka opiskelee tämän taiteen, on oltava joko kaikki tai ei mitään. \nan Alchemist joka tietää vain puolet niiden veneet, niittää vain pettymys \nja tuhlata aikaa ja rahaa; Lisäksi he makasivat itse avoinna pilkkaa \nof jotka halveksivat meidän Art. Nuo todellakin jotka onnistuvat saavuttamaan tavoitteen \nof Magistery, ei ole vain loputon rikkauksia, mutta keinot jatkui \nlife ja terveyttä. Siksi on suosituin kaikista ajoja.","Among those who devote themselves to the transmutation of metals,\nhowever, there can be no such thing as mediocrity of attainment.\nA person who studies this Art, must have either everything or nothing.\nAn Alchemist who knows only half their craft, reaps nothing but disappointment \nand waste of time and money; moreover, they lay themselves open to the mockery \nof those who despise our Art. Those, indeed, who succeed in reaching the goal \nof the Magistery, have not only infinite riches, but the means of continued \nlife and health. Hence it is the most popular of all pursuits.",,,,
booktitle08,Smaragditaulu - volyymi VIII,Emerald Tablet - volume VIII,,,,
bookdesc08,"Voi teitä kaikki te tyhmät! \nhow tietämätön olette te tämän taiteen, josta te kuolisi jos te tiennyt sitä! \ni vannon, että jos kuninkaat tunsivat sen, \nnone meistä olisi koskaan saavuttaa tämä asia. \ Ei Kuinka tämä luonto antaa muuttua elimistössä henki! \ Ei Kuinka ihailtavaa on luonto, kuinka hän puheenjohtajana kaiken, ja voittaa kaikki. \n","Woe unto all ye fools! \nHow ignorant are ye of this Art, for which ye would die if ye knew it! \nI swear to you that if kings were familiar with it, \nnone of us would ever attain this thing. \nO how this nature changeth body into spirit! \nO how admirable is Nature, how she presides over all, and overcomes all.\n",,,,
booktitle09,Smaragditaulu - tilavuus IX,Emerald Tablet - volume IX,,,,
bookdesc09,"Tällä tavalla, niin, Nature generoi avulla \ntähän rikin erilaisten metallien \nveins maan, mukaan monimuotoisuus \ndegrees ja muutoksia. \n","In this way, then, Nature generates by means of \nthis sulphur the different kinds of metals in the \nveins of the earth, according to the diversity of \ndegrees and alterations.\n",,,,
booktitle10,Smaragditaulu - äänenvoimakkuus X,Emerald Tablet - volume X,,,,
bookdesc10,"Otetaan hän kertoo meille, kivi kultaa, yhdistää huumoria, joka on \npermanent vettä, asettaa sen astiassa, yli lempeä tuleen kunnes nesteytysasemat \ntakes paikka. Sitten jätä se kunnes vesi kuivuu, ja hiekan ja \nwater yhdistetään, yksi toiseen; anna palon olla voimakkaampi \nthan ennen, kunnes se taas tulee kuiva, ja on tehty maan. Kun tämä on tehty, \nunderstand että tässä alussa Arcanum; mutta tehdä tämän monta kertaa, \nuntil kaksi kolmasosaa vettä hukkaan, värit ilmeinen teille.","Take, he tells us, the stone of gold, combine with humour which is \npermanent water, set in its vessel, over a gentle fire until liquefaction \ntakes place. Then leave it until the water dries, and the sand and \nwater are combined, one with another; then let the fire be more intense\nthan before, until it again becomes dry, and is made earth. When this is done, \nunderstand that here is the beginning of the arcanum; but do this many times,\nuntil two-thirds of the water perish, and colours manifest unto you.",,,,
booktitle_corpse,tabula Smaragdina,Tabula Smaragdina,,,,
bookdesc_corpse,"Jos kaikki vuoret olivat hopeaa ja kultaa, mitä \nNe hyödyttää ihmistä, joka elää jatkuvassa pelossa kuoleman? \nHence ei voi olla koko maailmassa mitään parempaa kuin meidän lääketiede, \njoka on valta parantaa kaikki sairaudet lihassa.","If all the mountains were of silver and gold, what would \nthey profit a man who lives in constant fear of death? \nHence there cannot be in the whole world anything better than our Medicine,\nwhich has power to heal all the diseases of the flesh.",,,,
booktitle_tree,Secretorum Hermetis,Secretorum Hermetis,,,,
bookdesc_tree,Uhraamista itseään harjoittamisesta \nknowledge on korkein kunnianosoitus jumalia.,The sacrifice of oneself to the pursuit of \nknowledge is the highest tribute to the gods.,,,,
menu_paused,PYSÄYTETTYNÄ,PAUSED,,,,
menu_continue,Jatkaa,Continue,,,,
menu_options,vaihtoehdot,Options,,,,
menu_stats,tilastot,Stats,,,,
menu_progress,edistyminen,Progress,,,,
menu_releasenotes,Julkaisutiedot,Release Notes,,,,
menu_credits,Laajuus,Credits,,,,
menu_newgame,Uusi peli,New Game,,,,
menu_dailyrun,päivittäinen Run,Daily Run,,,,
menu_saveandquit,Tallenna ja Lopeta,Save & Quit,,,,
menu_return,Palata,Return,,,,
menu_applyandreturn,Levitä & Return,Apply & Return,,,,
menu_cancel,Peruuttaa,Cancel,,,,
menu_yes,Joo,Yes,,,,
menu_no,Ei,No,,,,
menu_ok,kunnossa,Ok,,,,
menu_high,Korkea,High,,,,
menu_medium,keskikokoinen,Medium,,,,
menu_low,Matala,Low,,,,
option_on,Päällä,On,,,,
option_off,Vinossa,Off,,,,
option_adaptive,Mukautuva,Adaptive,,,,
menu_newgame_areyousure,"Oletko varma, että haluat aloittaa uuden pelin? Kaikki edistys nykyisestä ajaa menetetään.",Are you sure you want to start a new game? All progress from current run will be lost.,,,,
menuoptions_windowmode,Ikkuna-tila: $0,Window mode: $0,,,,
windowmode_windowed,windowed,Windowed,,,,
windowmode_fullscreen,Fullscreen (ikkunoidaan),Fullscreen (windowed),,,,
windowmode_fullscreen_real,Fullscreen (real),Fullscreen (real),,,,
menuoptions_resolution,Resoluutio: $0,Resolution: $0,,,,
menuoptions_resolution_illegible,- VAROITUS: Ehkä mahdoton lukea!,- WARNING: Might be illegible!,,,,
menuoptions_matchresolution,Käytä nykyistä näytön resoluutio,Use current display's resolution,,,,
menuoptions_applydisplay,Levitä näytön asetukset,Apply display settings,,,,
menuoptions_renderingquality,hahmonnuslaaduksi,Rendering quality,,,,
menuoptions_lowqualityrendering,Heikkolaatuinen tekee: $0,Low quality rendering: $0,,,,
menuoptions_vsync,Vsync: $0,Vsync: $0,,,,
menuoptions_display_areyousure,Haluatko säilyttää uudet asetukset käyttöön? Vanhat asetukset palautetaan vuonna $0 s.,Do you want to keep the new display settings? Old settings will be restored in $0 seconds.,,,,
menuoptions_resetsave,Nollaa kaikki edistystä,Reset all progress,,,,
menuoptions_resetsave_areyousure,"Oletko varma, että haluat palauttaa kaikki edistystä? Tätä ei voi peruuttaa!",Are you sure you want to reset all progress? This cannot be undone!,,,,
menugameover_newgame,Uusi peli,New Game,,,,
menugameover_savereplay,Tallenna kuolema replay,Save death replay,,,,
menugameover_quit,Lopettaa,Quit,,,,
menugameover_gamecompleted,Valmis peliin!,COMPLETED THE GAME!,,,as in 'world record',
menugameover_nextbutton,Olet kuollut - napsauttamalla tästä tilastot,You are dead - click here for stats,,,,
menugameover_records,RECORDS,RECORDS,,,,
menuoptions_pixelart_aa,Pikselin taiteen pehmennystä: $0,Pixel art anti-aliasing: $0,,,,
menuoptions_lowres,Matala resoluutio tekee: $0,Low resolution rendering: $0,,,,
menuoptions_lowres_tooltip_exp,Kokeellinen. Saattaa aiheuttaa vähäisiä tekee virheitä.,EXPERIMENTAL. Might cause minor rendering glitches.,,,,
menuoptions_lowres_tooltip,"Nopeuttaa hahmontamisaikaa, mutta saattaa aiheuttaa vähäisiä tekee virheitä.","Improves rendering performance, but might cause minor rendering glitches.",,,,
menuoptions_brightness,Kirkkaus,Brightness,,,,
menuoptions_contrast,Kontrasti,Contrast,,,,
menuoptions_gamma,Gamma,Gamma,,,,
menuoptions_reset_keyboard,Napsauta hiiren palauttaa oletuksena.,Right click to reset to default.,,,,
menuoptions_reset_gamepad,Paina B Nollaa oletusasetukset.,Press B to reset to default.,,,,
menuoptions_musicvolume,musiikin äänenvoimakkuus,Music volume,,,,
menuoptions_soundsvolume,Ääniefekti tilavuus,Sound effect volume,,,,
menuoptions_configurecontrols,Määritä valvonta,Configure controls,,,,
menuoptions_configurecontrols_reset_all,Nollaa kaikki oletusasetukset,Reset all to default,,,,
menuoptions_configurecontrols_rebind_keyboard,Paina näppäintä tai painiketta $0,Press the key or button for $0,,,,
menuoptions_configurecontrols_rebind_gamepad,Paina painiketta $0,Press the button for $0,,,,
menuoptions_controls,Peliohjain: $0,Gamepad: $0,,,,
menuoptions_mousesensitivity,Hiiren herkkyys,Mouse sensitivity,,,,
menuoptions_controls_keyboard,Hiiri + näppäimistö,Mouse + Keyboard,,,,
menuoptions_controls_autodetectgamepad,Automaattinen havaitseminen,Auto-detect,,,,
menuoptions_gamepad_rumble,Peliohjain rumble intensiteetti,Gamepad rumble intensity,,,,
menuoptions_ui_inventory_icons_always_clickable,Napsauta kuvaketta kytkimet item: $0,Click on icon switches item: $0,,,,
menuoptions_application_rendered_cursor,Peli tekee osoitin: $0,Game renders the cursor: $0,,,,
menuoptions_screenshake_intensity,Näytön ravista intensiteetti,Screen shake intensity,,,,
menuoptions_damagenumbers,Damage numerot: $0,Damage numbers: $0,,,,
menuoptions_replayrecorder,Replay tallennin: $0,Replay recorder: $0,,,,
menuoptions_checkforupdates,Tarkista päivitykset: $0,Check for updates: $0,,,,
menuoptions_language,Kieli: Suomi (100% finnished),Language: English,,,,
menuupdatenotification_title,UUSI PÄIVITYS SAATAVILLA,NEW UPDATE AVAILABLE,,,,
menuupdatenotification_description_generic,Uusi rakentaa ja Noita on nyt saatavilla! \nNapsauta julkaisutietoja,A new build of Noita is now available!\nClick here for release notes,,,,
menureleasenotes_notavailable,Ei julkaisutiedot saatavilla,No release notes available,,,,
menureleasenotes_eawarning,Tervetuloa Noita! \nNoita on jo pääsy pelin. \nSe sisältää virheitä ja voi jopa joskus kaatua! \nWe're parhaillaan korjata asioita ja lisätä uusia ominaisuuksia.,Welcome to Noita!\nNoita is an early access game.\nIt contains bugs and may even sometimes crash!\nWe're working hard to fix things and add new features.,,,,
controls_up,ylös,up,,,,
controls_down,alas,down,,,,
controls_left,vasen,left,,,PLACEHOLDER,
controls_right,oikea,right,,,,
controls_sprayflask,suihkuta juoma,spray from potion,,,,
controls_throw,heittää,throw,,,,
controls_kick,potkia,kick,,,,
controls_inventory,auki / kiinni inventaario,open/close inventory,,,,
controls_itemnext,Esityslistalla,next item,,,,
controls_itemprev,edellinen kohde,previous item,,,,
controls_itemslot1,Valitse tuote rako 1,select item in slot 1,,,,
controls_itemslot2,Valitse tuote aikavälissä 2,select item in slot 2,,,,
controls_itemslot3,Valitse tuote aikavälissä 3,select item in slot 3,,,,
controls_itemslot4,Valitse tuote rako 4,select item in slot 4,,,,
controls_itemslot5,Valitse tuote aukon 5,select item in slot 5,,,,
controls_itemslot6,Valitse tuote rako 6,select item in slot 6,,,,
controls_itemslot7,Valitse tuote raon 7,select item in slot 7,,,,
controls_itemslot8,Valitse tuote rako 8,select item in slot 8,,,,
controls_itemslot9,Valitse tuote rako 9,select item in slot 9,,,,
controls_itemslot10,valitse tuote rako 10,select item in slot 10,,,,
controls_escape,tauko / sulje,pause/close,,,,
hud_air_unit,o2,o2,,,,
hud_air,Ilma: $0 / $1,Air: $0 / $1,,,,
hud_health,Terveys: $0 / $1,Health: $0 / $1,,,,
hud_jetpack,Levitation energia: $0 / $1,Levitation energy: $0 / $1,,,,
hud_wand_mana,Wand manaa: $0 / $1,Wand mana: $0 / $1,,,,
hud_wand_reload,Wand lataa: $0 s,Wand recharge: $0 s,,,,
hud_gold,Kulta: $0,Gold: $0,,,,
hud_orbs,Orbit kerätty: $0,Orbs collected: $0,,,,
hud_title_wands,wands,WANDS,,,,
hud_title_throwables,ERÄT,ITEMS,,,,
hud_title_actionstorage,loitsuja,SPELLS,,,,
menu_newwand_title,UUSI WAND,NEW WAND,,,,
menu_newwand_pressagain_pick,Paina $ ja 0 on jälleen poimia sauva,Press $0 again to pick the wand,,,,
menu_newwand_pressagain_cancel,Paina $0 peruuttaa,Press $0 to cancel,,,,
menu_newwand_whichwand_gamepad,JOTKA WAND Haluatko pudottaa?,WHICH WAND DO YOU WANT TO DROP?,,,,
menu_newwand_whichwand_keyboard,JOTKA WAND Haluatko pudottaa? (Klikkaa sitä!),WHICH WAND DO YOU WANT TO DROP? (Click it!),,,,
menu_newwand_emptyslot,$0 - tyhjään paikkaan,$0 - empty slot,,,,
menu_newbook_pressagain_pick,Paina $ ja 0 on jälleen poimia kirjan,Press $0 again to pick the book,,,,
menu_newbook_pressagain_close,Paina $0 close,Press $0 to close,,,,
item_empty,Tyhjä,Empty,,,,
item_wand,Sauva,Wand,,,,
item_potion,Juoma,Potion,,,,
item_cocktail,Cocktail,Cocktail,,,,
item_orb,taivaankappale,Orb,,,,
item_description_potion,Equip ja heittää,Equip and throw,,,,
item_description_egg,Equip ja heittää,Equip and throw,,,,
item_potion_with_material,$0 juoma,$0 potion,,,,
item_potion_fullness,($0% täynnä),($0% full),,,,
item_potion_empty,Tyhjä,Empty,,,,
item_egg,Kananmuna,Egg,,,,
item_chest_treasure,Aarrearkku,Treasure chest,,,,
item_goldnugget,Kultakimpale,Gold nugget,,,,
item_heart,Extra max HP,Extra max HP,,,,
item_heart_better,Suuri ylimääräistä max HP,Large extra max HP,,,,
item_heart_fullhp,Kaikki terveyteen uudistaminen,Full health regeneration,,,,
item_unidentified,tunnistamattomat kohde,Unidentified item,,,,
itempickup_notenoughgold,Ei tarpeeksi kultaa ostaa '$0',Not enough gold to purchase '$0',,,,
itempickup_purchase,Paina $0 osto '$1',Press $0 to purchase '$1',,,,
itempickup_pick,Paina $0 pick '$1',Press $0 to pick '$1',,,,
itempickup_read,Paina $0 lukea '$1',Press $0 to read '$1',,,,
itempickup_purchase_swap,Paina $0 osto '$1' ja vaihtaa kohteen kanssa,Press $0 to purchase '$1' and swap an item with it,,,,
itempickup_pick_swap,"Paina $0 vaihtaa alkion, '$1'",Press $0 to swap an item with '$1',,,,
itempickup_cannotpick,Voi valita '$0'. Ole hyvä päästä eroon kohteen tehdäkseen tilaa sen,Cannot pick '$0'. Please get rid of an item to make space for it,,,,
itempickup_cannotpick_closeinventory,Sulje varaston ensin valita '$0',Close the inventory first to pick '$0',,,,
hint_editwands,Paina $0 korjailla wands,Press $0 to tinker with wands,,,,
hint_endingmcguffin_use,Paina $0 valmiiksi,Press $0 to complete the Work,,,,
log_pickedup_perk,$0.00,$0.00,,,,
log_pickedup,Kyytiin $0,Picked up $0,,,,
log_equipped,Varustettu $0,Equipped $0,,,,
log_entered,Tuli $0,Entered $0,,,,
log_damage,Damage: $0,Damage: $0,,,,
log_death,Kuolema: $0,Death: $0,,,,
log_teleported,Teleporttasi!,Teleported!,,,,
log_teleported_something,Jotain tuli Teleport lähistöllä,Something entered a teleport nearby,,,,
log_gamefx_savinggrace,Saving Grace pelasti sinut!,Saving Grace saved you!,,,,
log_gamefx_respawn,Saat vielä yhden mahdollisuuden!,You get one more chance!,,,,
logdesc_gamefx_respawn,Lisäelämä pelasti sinut,Extra life saved you,,,,
log_recharging,Uudelleenlataus ..,RECHARGING..,,,,
log_blindness,Tilapäisesti sokaissut!,Temporarily blinded!,,,,
log_polymorph,Polymorphed!,Polymorphed!,,,,
log_block_attack,LOHKO,BLOCK,,,,
log_coop_resurrected,Resurrected,RESURRECTED,,,,
log_coop_resurrected_player,Resurrected pelaaja $0 -johtoon!,Resurrected player $0!,,,,
log_coop_partner_is_dead,Kumppani on kuollut!,Partner is dead!,,,,
log_coop_started,CO-OP!,CO-OP!,,,,
log_chest,Avattu aarreaitta!,Opened a treasure chest!,,,,
logdesc_chest_gold,Sait $0 Kulta!,You got $0 gold!,,,,
log_heart,Kyytiin Extra enimmäisterveys,Picked up Extra Max Health,,,,
logdesc_heart,Lisääntynyt suurin terveys 0 $,Increased maximum health to $0,,,,
logdesc_heart_blocked,Lisääntynyt suurin terveys 0 $ ..mutta jonkinlainen kirous esti kasvua suurimman terveyttä!,Increased maximum health to $0 ..but some sort of curse blocked the increase of maximum health!,,,,
log_heart_better,Kyytiin Extra enimmäisterveys,Picked up Extra Max Health,,,,
logdesc_heart_better,Lisääntynyt suurin terveys 0 $,Increased maximum health to $0,,,,
log_heart_fullhp,Kyytiin kaikki terveyteen Regeneration,Picked up Full Health Regeneration,,,,
log_discovered,Olet löytänyt $0,You have discovered $0,,,,
inventory_sort,Järjestellä,Sort,,,,
inventory_shuffle,sekoittaa,Shuffle,,,,
inventory_shuffle_tooltip,"Sauvat, että shuffle heittävät loitsuja satunnaisessa järjestyksessä.",Wands that shuffle cast their spells in random order.,,,,
inventory_actionspercast,Loitsuja / Cast,Spells/Cast,,,,
inventory_actionspercast_tooltip,Määrän loitsuja tämä sauva heittoja käytettynä.,The number of spells this wand casts when used.,,,,
inventory_castdelay,valettu viive,Cast delay,,,,
inventory_castdelay_tooltip,Välinen aika heittää.,The time between casts.,,,,
inventory_rechargetime,Rechrg. Aika,Rechrg. Time,,,,
inventory_rechargetime_tooltip,Aika kuluu tämän sauva latautumaan kaikki loitsuja sen sisällä on valettu.,The time it takes for this wand to recharge when all spells inside it have been cast.,,,,
inventory_manamax,manaa max,Mana max,,,,
inventory_manamax_tooltip,Enimmäismäärä manaa tämän sauva voi tallentaa.,Maximum amount of mana this wand can store.,,,,
inventory_manachargespeed,Manaa Muut. spd,Mana chg. Spd,,,,
inventory_manachargespeed_tooltip,Tämä sauva on manaa uudistaminen nopeuden.,This wand's mana regeneration speed.,,,,
inventory_capacity,kapasiteetti,Capacity,,,,
inventory_capacity_tooltip,"Useita jaksoja, jotka voidaan insertoida tämän sauva.",The number of spells that can be inserted into this wand.,,,,
inventory_spread,Levitän,Spread,,,,
inventory_spread_tooltip,Suuntaava poikkeama ammusten valettu tämän sauva.,The directional deviation of projectiles casted by this wand.,,,,
inventory_chargecapacity,latauskapasiteetti,Charge capacity,,,,
inventory_alwayscasts,aina heittää,Always casts,,,,
inventory_alwayscasts_description,Tämä sauva herättää joitakin loitsuja joka kerta sitä käytetään.,This wand casts some spells every time it's used.,,,,
inventory_usesremaining,käyttötarkoituksia jäljellä,Uses remaining,,,,
inventory_actiontype,Tyyppi,Type,,,,
inventory_manadrain,manaa valua,Mana drain,,,,
inventory_damage,Vahingoittaa,Damage,,,,
inventory_dmg_explosion,DMG. expl,Dmg. Expl,,,,
inventory_explosion_radius,Expl. Säde,Expl. Radius,,,,
inventory_dmg_slice,DMG. Viipale,Dmg. Slice,,,,
inventory_dmg_drill,DMG. Porata,Dmg. Drill,,,,
inventory_dmg_fire,DMG. Antaa potkut,Dmg. Fire,,,,
inventory_dmg_ice,DMG. jää,Dmg. Ice,,,,
inventory_speed,Nopeus,Speed,,,,
inventory_mod_castdelay,valettu viive,Cast delay,,,,
inventory_mod_rechargetime,latausaika,Recharge time,,,,
inventory_mod_bounces,Hypähdykset,Bounces,,,,
inventory_mod_speed,Proj. Nopeus,Proj. Speed,,,,
inventory_mod_explosion_radius,Expl. Säde,Expl. Radius,,,,
inventory_mod_spread,Levitän,Spread,,,,
inventory_mod_knockback,knockback,Knockback,,,,
inventory_mod_damage,Vahingoittaa,Damage,,,,
inventory_mod_damage_melee,DMG. Nujakka,Dmg. Melee,,,,
inventory_mod_damage_electric,DMG. Sähköinen,Dmg. Electric,,,,
inventory_mod_damage_fire,DMG. Antaa potkut,Dmg. Fire,,,,
inventory_mod_damage_explosion,DMG. expl,Dmg. Expl,,,,
inventory_mod_critchance,Crit. Mahdollisuus,Crit. Chance,,,,
inventory_warning_noactions,VAROITUS - Tämä sauva ei sisällä loitsuja,WARNING - This wand contains no spells,,,,
inventory_warning_noactions_description,Sauva ei tee mitään. Laitetaan vähän loitsuja osaksi sauva n lähtö.,The wand doesn't do anything. Place some spells into the wand's slots.,,,,
inventory_warning_notenoughmana,VAROITUS - Tämä sauva ei ole tarpeeksi manaa $0,WARNING - This wand doesn't have enough mana for $0,,,,
inventory_warning_notenoughmana_description,Sauva on max $0 manaa. Casting $1 edellyttää $2 manaa.,Wand has max $0 mana. Casting $1 requires $2 mana.,,,,
inventory_info_frozen,INFO - Tämä sauva on jäätynyt,INFO - This wand has been frozen,,,,
inventory_info_frozen_description,Loitsu estää sauva räätälöidään.,A spell prevents the wand from being customized.,,,,
inventory_seconds,$0 s,$0 s,,,,
inventory_degrees,$0 ° C,$0 DEG,,,,
inventory_actiontype_projectile,Ammus,Projectile,,,,
inventory_actiontype_staticprojectile,Staattinen Proj.,Static proj.,,,,
inventory_actiontype_modifier,Proj. määrite,Proj. modifier,,,,
inventory_actiontype_drawmany,multicast,Multicast,,,,
inventory_actiontype_material,materiaali,Material,,,,
inventory_actiontype_other,muut,Other,,,,
inventory_actiontype_utility,Apuohjelma,Utility,,,,
inventory_actiontype_passive,Passiivinen,Passive,,,,
item_spell_refresh,Spell kertaus,Spell refresher,,,,
itemtitle_spell_refresh,Piristyi Spell kertaus,Picked up Spell refresher,,,,
itemdesc_spell_refresh,Kaikki loitsuja virkeänä,All spells refreshed,,,,
itemtitle_wand_pickup,Kyytiin uusi taikasauva,Picked up a new magic wand,,,,
itemtitle_chest_open,Avattu aarreaitta!,Opened a treasure chest!,,,,
itemtitle_chest_broken_open,Rinnassa oli rikki auki,A chest was broken open,,,,
log_endcrystal,Kosketti kirottu Crystal!,Touched the cursed crystal!,,,,
logdesc_endcrystal,Jotain herättää yläpuolellanne,Something stirs above you,,,,
logdesc_temple_spawn_guardian,Olette suututti jumalat,You have angered the Gods,,,,
logdesc_gods_are_angry,Olette suututti jumalat,You have angered the Gods,,,,
logdesc_gods_are_very_angry,Jumalat ovat hyvin vihainen sinulle,The Gods are very angry with you,,,,
damage_projectile,ammus,projectile,,,,
damage_electricity,sähkö,electricity,,,,
damage_explosion,räjähdys,explosion,,,,
damage_fire,antaa potkut,fire,,,,
damage_melee,nujakka,melee,,,,
damage_drill,porata,drill,,,,
damage_slice,viipale,slice,,,,
damage_ice,jää,ice,,,,
damage_healing,paranemista,healing,,,,
damage_physicshit,fysiikka osuma,physics hit,,,,
damage_radioactive,myrkyllinen,toxic,,,,
damage_poison,myrkyttää,poison,,,,
damage_water,kosteus,wetness,,,,
damage_fall,pudota,fall,,,,
damage_drowning,hukkuminen,drowning,,,,
damage_frommaterial,vahinkojen materiaali: $0,damage from material: $0,,,,
damage_kick,potkia,kick,,,,
damage_holy_mountains_curse,Holy Mountain kirous,Holy Mountain's curse,,,,
stat_depth,syvyys:,Depth:,,,,
stat_time,Aika:,Time:,,,,
stat_places_visited,Paikkoihin:,Places visited:,,,,
stat_enemies_slain,Viholliset surmattu:,Enemies slain:,,,,
stat_max_hp,Max HP:,Max HP:,,,,
stat_gold,Kulta:,Gold:,,,,
stat_items_found,Löydetyt:,Items found:,,,,
stat_orbs,Orbs kerätty:,Orbs collected:,,,,
stat_total_deaths,Yhteensä kuolemat:,Total deaths:,,,,
stat_total_play_time,Yhteensä toistoaika:,Total play time:,,,,
stat_total_wins,Yhteensä voitot:,Total wins:,,,,
stat_cause_of_death,Kuolinsyy: '$0',Cause of death: '$0',,,,
stat_best,(Paras: $0),(Best: $0),,,,
